Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
262,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,0
FH 8,"October 13, 2023 14:19[174]",Falcon Heavy B5 B1079 (core)[175],"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,No attempt,0
FH 8,"October 13, 2023 14:19[174]",B1064‑4 (side),"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,Success (LZ‑1),0
FH 8,"October 13, 2023 14:19[174]",B1065‑4 (side),"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,Success (LZ‑2),0
FH 8,"Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]","Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]",0
263,"October 13, 2023 23:01[179]",F9 B5 B1067‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-22 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),0
263,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,0
264,"October 18, 2023 00:39[180]",F9 B5 B1062‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-23 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),0
264,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,0
265,"October 21, 2023 08:23[181]",F9 B5 B1061‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-5 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY),0
265,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,0
266,"October 22, 2023 02:17[182]",F9 B5 B1080‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-24 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),0
266,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.",0
